# V_set	I	V	t
# "V_appl"	"I_meas"	"V_appl"	"Elapsed time"
# 201
-1	-0.009897999	-1	2.1519638
-0.99	-0.00981209	-0.99	2.183738
-0.98	-0.009716388	-0.98	2.2152178
-0.97	-0.009623895	-0.97	2.246329
-0.96	-0.009523415	-0.96	2.2954192
-0.95	-0.009444013	-0.95	2.3232361
-0.94	-0.00932442	-0.94	2.3535779
-0.93	-0.009304374	-0.93	2.3841425
-0.92	-0.009122367	-0.92	2.4466089
-0.91	-0.009031671	-0.91	2.4950805
-0.9	-0.008922214	-0.9	2.5242079
-0.89	-0.008827557	-0.89	2.5553337
-0.88	-0.008726892	-0.88	2.5867645
-0.87	-0.008631238	-0.87	2.618126
-0.86	-0.008531968	-0.86	2.6671167
-0.85	-0.008445264	-0.85	2.696226
-0.84	-0.008333232	-0.84	2.7276561
-0.83	-0.008242169	-0.83	2.7581795
-0.82	-0.008215564	-0.82	2.7896842
-0.81	-0.008079818	-0.81	2.8548736
-0.8	-0.007934954	-0.8	2.88316
-0.79	-0.007836011	-0.79	2.9150205
-0.78	-0.007730516	-0.78	2.9471369
-0.77	-0.007641018	-0.77	2.9777761
-0.76	-0.007541165	-0.76	3.0268583
-0.75	-0.007461018	-0.75	3.0548482
-0.74	-0.007341933	-0.74	3.0861407
-0.73	-0.00723979	-0.73	3.1177241
-0.72	-0.007145651	-0.72	3.1489404
-0.71	-0.0070462	-0.71	3.1979463
-0.7	-0.006944627	-0.7	3.2266109
-0.69	-0.006852233	-0.69	3.2575773
-0.68	-0.00683086	-0.68	3.2895573
-0.67	-0.0067321	-0.67	3.3512841
-0.66	-0.006633285	-0.66	3.4322819
-0.65	-0.006531711	-0.65	3.4768558
-0.64	-0.006336311	-0.64	3.5381564
-0.63	-0.006255858	-0.63	3.5696523
-0.62	-0.006152782	-0.62	3.6014134
-0.61	-0.006056296	-0.61	3.6507122
-0.6	-0.005951186	-0.6	3.6800004
-0.59	-0.00585644	-0.59	3.7113897
-0.58	-0.005841831	-0.58	3.7429695
-0.57	-0.00574283	-0.57	3.8054946
-0.56	-0.005567551	-0.56	3.8697374
-0.55	-0.005477902	-0.55	3.8986077
-0.54	-0.005368737	-0.54	3.9293521
-0.53	-0.005271758	-0.53	3.9599893
-0.52	-0.005167894	-0.52	3.9908421
-0.51	-0.005064328	-0.51	4.0403991
-0.5	-0.004962362	-0.5	4.0692285
-0.49	-0.00487213	-0.49	4.0998232
-0.48	-0.004775865	-0.48	4.1303635
-0.47	-0.004670406	-0.47	4.1615131
-0.46	-0.004654325	-0.46	4.2105633
-0.45	-0.004553544	-0.45	4.2553954
-0.44	-0.00445413	-0.44	4.3178773
-0.43	-0.004355405	-0.43	4.3799795
-0.42	-0.004256659	-0.42	4.4568487
-0.41	-0.004159634	-0.41	4.5221277
-0.4	-0.003962257	-0.4	4.5673132
-0.39	-0.003880198	-0.39	4.5991191
-0.38	-0.00378349	-0.38	4.6307005
-0.37	-0.003684112	-0.37	4.6616421
-0.36	-0.003587696	-0.36	4.7100625
-0.35	-0.0034992	-0.35	4.7398287
-0.34	-0.003467368	-0.34	4.7708387
-0.33	-0.003368082	-0.33	4.8331465
-0.32	-0.003267068	-0.32	4.8946056
-0.31	-0.00316789	-0.31	4.9894151
-0.3	-0.003068985	-0.3	5.0347838
-0.29	-0.002970467	-0.29	5.0973458
-0.28	-0.002831615	-0.28	5.1441168
-0.27	-0.002701363	-0.27	5.1742695
-0.26	-0.002600518	-0.26	5.2224035
-0.25	-0.002508799	-0.25	5.25153
-0.24	-0.002394595	-0.24	5.2830101
-0.23	-0.002379119	-0.23	5.3140002
-0.22	-0.002277604	-0.22	5.3759844
-0.21	-0.00217878	-0.21	5.4560819
-0.2	-0.002080002	-0.2	5.5009819
-0.19	-0.001983228	-0.19	5.5627688
-0.18	-0.00188466	-0.18	5.6415333
-0.17	-0.001785272	-0.17	5.7034285
-0.16	-0.001686913	-0.16	5.7833543
-0.15	-0.001587777	-0.15	5.8276146
-0.14	-0.001445991	-0.14	5.8739674
-0.13	-0.001307937	-0.13	5.9056217
-0.12	-0.001215702	-0.12	5.9365049
-0.11	-0.001191749	-0.11	5.9853381
-0.1	-0.001092904	-0.1	6.0296986
-0.09	-0.0009938939	-0.09	6.0912824
-0.08	-0.0008954731	-0.08	6.1528644
-0.07	-0.0007960685	-0.07	6.2297462
-0.0599999999999999	-0.0006968543	-0.0599999999999999	6.3094337
-0.0499999999999999	-0.000596127	-0.0499999999999999	6.3539143
-0.04	-0.0004968903	-0.04	6.4156373
-0.03	-0.0004003921	-0.03	6.4767357
-0.02	-0.0003015694	-0.02	6.5379953
-0.01	-0.0002023043	-0.01	6.6174803
0	-5.35464e-06	0	6.6612003
0.01	-5.645577e-06	0.01	6.6920664
0.02	9.312616e-05	0.02	6.7539391
0.03	0.0001923808	0.03	6.8164221
0.04	0.0002912395	0.04	6.8962333
0.05	0.0003898943	0.05	6.940134
0.0600000000000001	0.0004891354	0.0600000000000001	6.9865709
0.0700000000000001	0.0005882386	0.0700000000000001	7.0486861
0.0800000000000001	0.0006868814	0.0800000000000001	7.1112309
0.0900000000000001	0.000786073	0.0900000000000001	7.1907778
0.1	0.0008849958	0.1	7.2199547
